,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate_SNIPE,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.2,0.01,15000,1,15000-0,5.08058755951803,2168.230372668324,0,Bernoulli,0.04649303967842517,SNIPE(1),5.238621587945149,0.1580340284271191,0.024974754140903492,0.03110546301501219
1,0.2,0.01,15000,1,15000-0,5.08058755951803,2168.230372668324,0,Bernoulli,0.04649303967842517,LS-Prop,5.068564330183551,-0.012023229334478636,0.00014455804362946759,-0.0023665037150977122
2,0.2,0.01,15000,1,15000-0,5.08058755951803,2168.230372668324,0,Bernoulli,0.04649303967842517,LS-Num,5.052595613709325,-0.027991945808704344,0.0007835490301574407,-0.005509588306624874
3,0.2,0.01,15000,1,15000-0,5.08058755951803,2168.230372668324,0,Bernoulli,0.04649303967842517,DM,5.011833822610857,-0.06875373690717268,0.004727076338700719,-0.013532634976119772
4,0.2,0.01,15000,1,15000-0,5.08058755951803,2168.230372668324,0,Bernoulli,0.04649303967842517,DM($0.75$),6.244243837634881,1.163656278116851,1.3540959336007619,0.22903970544447053
5,0.2,0.1,15000,1,15000-0,5.4934349355571515,2942.2938680791362,0,Bernoulli,0.04092619836543226,SNIPE(1),5.367037332328517,-0.12639760322863403,0.015976354101943195,-0.023008846871108816
6,0.2,0.1,15000,1,15000-0,5.4934349355571515,2942.2938680791362,0,Bernoulli,0.04092619836543226,LS-Prop,5.487974144297868,-0.005460791259283226,2.9820241177464087e-05,-0.000994057693108799
7,0.2,0.1,15000,1,15000-0,5.4934349355571515,2942.2938680791362,0,Bernoulli,0.04092619836543226,LS-Num,5.631288202123004,0.13785326656585273,0.01900352310287605,0.025094183909155823
8,0.2,0.1,15000,1,15000-0,5.4934349355571515,2942.2938680791362,0,Bernoulli,0.04092619836543226,DM,4.9537350055395795,-0.539699930017572,0.2912760144609721,-0.09824452939713119
9,0.2,0.1,15000,1,15000-0,5.4934349355571515,2942.2938680791362,0,Bernoulli,0.04092619836543226,DM($0.75$),6.286984124417104,0.7935491888599522,0.629720315140288,0.14445409805868017
10,0.2,0.25,15000,1,15000-0,6.258775283570612,4520.934977091214,0,Bernoulli,0.05501991087169544,SNIPE(1),7.117170995454335,0.8583957118837224,0.7368431981803626,0.13715074802845617
11,0.2,0.25,15000,1,15000-0,6.258775283570612,4520.934977091214,0,Bernoulli,0.05501991087169544,LS-Prop,6.012719411245881,-0.2460558723247317,0.06054349230548466,-0.03931374129546277
12,0.2,0.25,15000,1,15000-0,6.258775283570612,4520.934977091214,0,Bernoulli,0.05501991087169544,LS-Num,6.528295624487133,0.2695203409165208,0.07264121416775758,0.04306279243225365
13,0.2,0.25,15000,1,15000-0,6.258775283570612,4520.934977091214,0,Bernoulli,0.05501991087169544,DM,5.031359070537836,-1.2274162130327761,1.5065505600157214,-0.19611124499944324
14,0.2,0.25,15000,1,15000-0,6.258775283570612,4520.934977091214,0,Bernoulli,0.05501991087169544,DM($0.75$),5.513222329560271,-0.7455529540103409,0.5558492072335456,-0.11912122104262629
15,0.2,0.5,15000,1,15000-0,7.48341728383759,9148.160451659256,0,Bernoulli,0.06487605622791728,SNIPE(1),7.809711552963954,0.3262942691263637,0.10646795006470788,0.043602308510990305
16,0.2,0.5,15000,1,15000-0,7.48341728383759,9148.160451659256,0,Bernoulli,0.06487605622791728,LS-Prop,6.92164557297874,-0.5617717108588502,0.31558745512127967,-0.07506887422570223
17,0.2,0.5,15000,1,15000-0,7.48341728383759,9148.160451659256,0,Bernoulli,0.06487605622791728,LS-Num,7.850119263381288,0.36670197954369765,0.13447034180126646,0.04900194197852459
18,0.2,0.5,15000,1,15000-0,7.48341728383759,9148.160451659256,0,Bernoulli,0.06487605622791728,DM,4.927381092631317,-2.556036191206273,6.53332101075627,-0.34156002455278095
19,0.2,0.5,15000,1,15000-0,7.48341728383759,9148.160451659256,0,Bernoulli,0.06487605622791728,DM($0.75$),4.8446029240356046,-2.6388143598019855,6.963341225497163,-0.3526215710970976
20,0.2,0.75,15000,1,15000-0,8.706781803853978,11220.511053424749,0,Bernoulli,0.0701523762487955,SNIPE(1),8.686766811972745,-0.020014991881232902,0.00040059990000581897,-0.002298781838356561
21,0.2,0.75,15000,1,15000-0,8.706781803853978,11220.511053424749,0,Bernoulli,0.0701523762487955,LS-Prop,8.029271600412429,-0.6775102034415497,0.45902007576741,-0.07781407857742063
22,0.2,0.75,15000,1,15000-0,8.706781803853978,11220.511053424749,0,Bernoulli,0.0701523762487955,LS-Num,9.269556155836014,0.5627743519820356,0.3167149712488001,0.06463632196834525
23,0.2,0.75,15000,1,15000-0,8.706781803853978,11220.511053424749,0,Bernoulli,0.0701523762487955,DM,4.9560506780051075,-3.750731125848871,14.067983978411538,-0.4307827174661301
24,0.2,0.75,15000,1,15000-0,8.706781803853978,11220.511053424749,0,Bernoulli,0.0701523762487955,DM($0.75$),8.113513043798992,-0.5932687600549862,0.35196782165718077,-0.06813869618190974
25,0.2,1.0,15000,1,15000-0,10.005137619373977,27286.102617966448,0,Bernoulli,0.09951102721150158,SNIPE(1),10.560238011318027,0.55510039194405,0.30813644513643795,0.0554815348935483
26,0.2,1.0,15000,1,15000-0,10.005137619373977,27286.102617966448,0,Bernoulli,0.09951102721150158,LS-Prop,8.988999290795574,-1.0161383285784034,1.0325371028061112,-0.10156165434553845
27,0.2,1.0,15000,1,15000-0,10.005137619373977,27286.102617966448,0,Bernoulli,0.09951102721150158,LS-Num,10.824642380628145,0.8195047612541675,0.67158805371825,0.08190839470986147
28,0.2,1.0,15000,1,15000-0,10.005137619373977,27286.102617966448,0,Bernoulli,0.09951102721150158,DM,4.959416648431756,-5.045720970942221,25.45930011660611,-0.5043130002701485
29,0.2,1.0,15000,1,15000-0,10.005137619373977,27286.102617966448,0,Bernoulli,0.09951102721150158,DM($0.75$),5.290458960185182,-4.714678659188795,22.228194859410255,-0.4712257680553317
