,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate_SNIPE,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,0,Bernoulli,3141.6918828233934,SNIPE(1),15.583223309929839,0.6492131171213344,0.4214776714423995,0.0434721222725537
1,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,0,Bernoulli,3141.6918828233934,LS-Prop,13.593360154920564,-1.34065003788794,1.797342524088935,-0.08977160324515729
2,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,0,Bernoulli,3141.6918828233934,LS-Num,17.071365836698902,2.1373556438903982,4.5682891484701384,0.14312000703733585
3,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,0,Bernoulli,3141.6918828233934,DM,5.142731458940589,-9.791278733867916,95.8691392442941,-0.6556362696593659
4,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,0,Bernoulli,3141.6918828233934,DM($0.75$),10.292323569320166,-4.641686623488338,21.54525471067057,-0.3108131415179795
5,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,1,Bernoulli,3322.810907894556,SNIPE(1),21.305309629512575,6.371299436704071,40.59345651214561,0.4266301786624051
6,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,1,Bernoulli,3322.810907894556,LS-Prop,13.265807718020897,-1.6682024747876074,2.782899496887498,-0.11170492407932954
7,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,1,Bernoulli,3322.810907894556,LS-Num,16.926490386314768,1.992480193506264,3.969977321514759,0.13341896568851586
8,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,1,Bernoulli,3322.810907894556,DM,4.9210203587660555,-10.012989834042449,100.25996541663743,-0.670482322214044
9,0.2,2,5000,1,5000-0,14.934010192808504,141429.16873431767,1,Bernoulli,3322.810907894556,DM($0.75$),5.859666476961159,-9.074343715847345,82.3437138733382,-0.607629404204981
10,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,0,Bernoulli,2653.441465092558,SNIPE(1),16.600443146997424,1.744050071901766,3.041710653300555,0.11739391002149667
11,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,0,Bernoulli,2653.441465092558,LS-Prop,13.146484867013859,-1.7099082080817993,2.92378608006551,-0.1150957839792341
12,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,0,Bernoulli,2653.441465092558,LS-Num,16.793979610775672,1.9375865356800137,3.754241583248477,0.13042106020525698
13,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,0,Bernoulli,2653.441465092558,DM,4.989431639221295,-9.866961435874362,97.35692797703186,-0.6641559216964129
14,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,0,Bernoulli,2653.441465092558,DM($0.75$),4.985897801709161,-9.870495273386497,97.42667694194519,-0.664393788148537
15,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,1,Bernoulli,2693.846141511935,SNIPE(1),17.402328861705936,2.5459357866102774,6.481789029542892,0.17136971092116074
16,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,1,Bernoulli,2693.846141511935,LS-Prop,12.827035653518134,-2.029357421577524,4.118291544511777,-0.13659825849515342
17,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,1,Bernoulli,2693.846141511935,LS-Num,16.312550226992457,1.4561571518967984,2.1203936510201955,0.09801552399268504
18,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,1,Bernoulli,2693.846141511935,DM,5.070815333452404,-9.785577741643255,95.75753173774392,-0.6586778965916831
19,0.2,2,5000,1,5000-1,14.856393075095658,218222.36203440523,1,Bernoulli,2693.846141511935,DM($0.75$),1.2115839608913461,-13.644809114204312,186.18081576307307,-0.9184469638917692
20,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,0,Bernoulli,4281.578693449033,SNIPE(1),15.795064028601125,0.8467623543452039,0.7170064847362326,0.05664605737811035
21,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,0,Bernoulli,4281.578693449033,LS-Prop,13.117936485442698,-1.8303651888132233,3.3502367244192666,-0.12244636405522188
22,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,0,Bernoulli,4281.578693449033,LS-Num,16.3344723658998,1.386170691643878,1.9214691863724673,0.09273098187676743
23,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,0,Bernoulli,4281.578693449033,DM,5.104457177177652,-9.843844497078269,96.90127448265812,-0.6585259457287654
24,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,0,Bernoulli,4281.578693449033,DM($0.75$),9.023627640953388,-5.924674033302534,35.101762400889314,-0.3963442913054165
25,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,1,Bernoulli,3862.6870360406174,SNIPE(1),16.643252356865407,1.6949506826094858,2.872857816478362,0.11338750846382387
26,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,1,Bernoulli,3862.6870360406174,LS-Prop,13.376668960975923,-1.5716327132799979,2.470029385451848,-0.10513787770196502
27,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,1,Bernoulli,3862.6870360406174,LS-Num,16.644034006068,1.6957323318120796,2.875508141152833,0.11343979863160528
28,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,1,Bernoulli,3862.6870360406174,DM,5.025602696667414,-9.922698977588507,98.459954999836,-0.6638010921787493
29,0.2,2,10000,1,10000-0,14.948301674255921,158479.96574190664,1,Bernoulli,3862.6870360406174,DM($0.75$),6.268405884090255,-8.679895790165666,75.34059092813565,-0.5806609994441208
30,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,0,Bernoulli,919.5481246146826,SNIPE(1),17.000515128423455,2.0161569091369955,4.064888682260843,0.13455076818318368
31,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,0,Bernoulli,919.5481246146826,LS-Prop,13.639315201367198,-1.3450430179192612,1.809140720053354,-0.08976313821622657
32,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,0,Bernoulli,919.5481246146826,LS-Num,16.897533118794783,1.9131748995083235,3.660238196108684,0.12767813419235163
33,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,0,Bernoulli,919.5481246146826,DM,5.009609957973218,-9.974748261313241,99.49560287657152,-0.6656773760570327
34,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,0,Bernoulli,919.5481246146826,DM($0.75$),3.8413575931245347,-11.143000626161925,124.16646295464504,-0.7436421675917825
35,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,1,Bernoulli,930.3281018216321,SNIPE(1),14.116792733708202,-0.8675654855782575,0.7526698717666378,-0.057898074304017146
36,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,1,Bernoulli,930.3281018216321,LS-Prop,12.961685542579609,-2.0226726767068506,4.091204757096456,-0.1349856061304952
37,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,1,Bernoulli,930.3281018216321,LS-Num,16.29633366667781,1.311975447391351,1.7212795745577356,0.08755633228940692
38,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,1,Bernoulli,930.3281018216321,DM,4.8838497049492915,-10.100508514337168,102.02027224819763,-0.674070144781826
39,0.2,2,10000,1,10000-1,14.98435821928646,74699.63211775276,1,Bernoulli,930.3281018216321,DM($0.75$),5.069812074217468,-9.914546145068991,98.29822526270239,-0.6616597120794881
40,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,0,Bernoulli,629.6462097751674,SNIPE(1),16.715658357988897,1.6657316880380062,2.7746620565339457,0.11068038566352972
41,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,0,Bernoulli,629.6462097751674,LS-Prop,13.394829720482415,-1.6550969494684757,2.739345912139854,-0.10997375507304558
42,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,0,Bernoulli,629.6462097751674,LS-Num,16.608700818850444,1.5587741488995537,2.429776847277528,0.10357353780413071
43,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,0,Bernoulli,629.6462097751674,DM,5.031144883199126,-10.018781786751765,100.37598849054888,-0.6657030300855583
44,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,0,Bernoulli,629.6462097751674,DM($0.75$),6.561315799934183,-8.488610870016707,72.0565145025658,-0.5640300485294263
45,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,1,Bernoulli,591.0669713980765,SNIPE(1),15.685712693986195,0.6357860240353048,0.4042238683586212,0.04224512437690033
46,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,1,Bernoulli,591.0669713980765,LS-Prop,13.49593737175137,-1.5539892981995198,2.414882738918636,-0.10325560597595859
