,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate_SNIPE,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.03,2,15000,1,15000-0,14.970316852947223,234630.0855905617,0,Bernoulli,0.19757397989045347,SNIPE(1),17.578254336391552,2.6079374834443296,6.801337917553943,0.17420723349158118
1,0.03,2,15000,1,15000-0,14.970316852947223,234630.0855905617,0,Bernoulli,0.19757397989045347,LS-Prop,13.207395905577,-1.7629209473702225,3.1078902666767227,-0.11776109782360113
2,0.03,2,15000,1,15000-0,14.970316852947223,234630.0855905617,0,Bernoulli,0.19757397989045347,LS-Num,15.18204451584363,0.21172766289640776,0.04482860323557489,0.014143165103063581
3,0.03,2,15000,1,15000-0,14.970316852947223,234630.0855905617,0,Bernoulli,0.19757397989045347,DM,5.145047928017352,-9.82526892492987,96.53590944719258,-0.6563166979993186
4,0.03,2,15000,1,15000-0,14.970316852947223,234630.0855905617,0,Bernoulli,0.19757397989045347,DM($0.75$),-0.816534514533146,-15.786851367480368,249.22467609891677,-1.0545435692880738
5,0.06,2,15000,1,15000-0,15.02907291773923,276751.5258947207,0,Bernoulli,0.1706463199195559,SNIPE(1),16.06683291230562,1.0377599945663913,1.0769458063224366,0.06905016698278804
6,0.06,2,15000,1,15000-0,15.02907291773923,276751.5258947207,0,Bernoulli,0.1706463199195559,LS-Prop,13.79064682733605,-1.2384260904031805,1.5336991813913066,-0.08240202820104972
7,0.06,2,15000,1,15000-0,15.02907291773923,276751.5258947207,0,Bernoulli,0.1706463199195559,LS-Num,15.947521131788116,0.9184482140488868,0.8435471218895897,0.06111143508824267
8,0.06,2,15000,1,15000-0,15.02907291773923,276751.5258947207,0,Bernoulli,0.1706463199195559,DM,5.166540927810483,-9.862531989928748,97.2695372523679,-0.6562302308273272
9,0.06,2,15000,1,15000-0,15.02907291773923,276751.5258947207,0,Bernoulli,0.1706463199195559,DM($0.75$),-1.086375964038966,-16.115448881778196,259.7076926612061,-1.0722849619524226
10,0.09,2,15000,1,15000-0,14.944052617623882,116709.27282704502,0,Bernoulli,0.1503214149762463,SNIPE(1),14.8032414231503,-0.14081119447358148,0.019827792489076783,-0.009422557459916827
11,0.09,2,15000,1,15000-0,14.944052617623882,116709.27282704502,0,Bernoulli,0.1503214149762463,LS-Prop,13.49693409437199,-1.4471185232518913,2.0941520203387345,-0.09683574866065912
12,0.09,2,15000,1,15000-0,14.944052617623882,116709.27282704502,0,Bernoulli,0.1503214149762463,LS-Num,15.95310284789274,1.0090502302688584,1.0181823672056363,0.06752186010633161
13,0.09,2,15000,1,15000-0,14.944052617623882,116709.27282704502,0,Bernoulli,0.1503214149762463,DM,4.974147668837174,-9.969904948786708,99.39900468784168,-0.6671486780653434
14,0.09,2,15000,1,15000-0,14.944052617623882,116709.27282704502,0,Bernoulli,0.1503214149762463,DM($0.75$),10.406549252976161,-4.537503364647721,20.58893678418939,-0.30363272137415614
15,0.12,2,15000,1,15000-0,14.934191874268882,109725.40666546211,0,Bernoulli,-0.08383654325770087,SNIPE(1),15.185610574839998,0.2514187005711168,0.0632113629968689,0.016835105822117027
16,0.12,2,15000,1,15000-0,14.934191874268882,109725.40666546211,0,Bernoulli,-0.08383654325770087,LS-Prop,13.248886166085931,-1.6853057081829501,2.840255330034035,-0.1128488051025162
17,0.12,2,15000,1,15000-0,14.934191874268882,109725.40666546211,0,Bernoulli,-0.08383654325770087,LS-Num,16.000750081323684,1.0665582070548023,1.1375464090359546,0.07141720262028016
18,0.12,2,15000,1,15000-0,14.934191874268882,109725.40666546211,0,Bernoulli,-0.08383654325770087,DM,4.951016242279929,-9.983175631988953,99.66379569913803,-0.6684777935115214
19,0.12,2,15000,1,15000-0,14.934191874268882,109725.40666546211,0,Bernoulli,-0.08383654325770087,DM($0.75$),4.108705216668341,-10.82548665760054,117.19116137388733,-0.7248793070787108
