,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.03,2,10000,1,10000-0,15.054547406918886,477000.2890836089,0,Bernoulli,20373.90660060364,SNIPE(1),15.070796486975029,0.016249080056143228,0.0002640326026709516,0.0010793469652017138
1,0.06,2,10000,1,10000-0,14.961907738903891,179788.52193908184,0,Bernoulli,7173.0955640604225,SNIPE(1),15.958878165516223,0.9969704266123323,0.9939500315395758,0.06663391086285166
2,0.09,2,10000,1,10000-0,14.900787569685232,166420.40609269604,0,Bernoulli,3445.0085353661125,SNIPE(1),13.671470127962941,-1.2293174417222907,1.5112213725226378,-0.08250016557670174
3,0.12,2,10000,1,10000-0,14.944867259621589,127265.87938622254,0,Bernoulli,2407.816270466106,SNIPE(1),14.127461812991044,-0.8174054466305449,0.6681516641812806,-0.05469472779052586
4,0.15,2,10000,1,10000-0,15.000408596423277,75649.31340687608,0,Bernoulli,1500.8354386141514,SNIPE(1),14.32754431025572,-0.6728642861675578,0.4527463475997771,-0.044856397200273374
5,0.2,2,10000,1,10000-0,15.005488614034855,78551.86179396565,0,Bernoulli,883.1325020311281,SNIPE(1),18.114072432344926,3.1085838183100716,9.663293355459224,0.20716311866063244
6,0.25,2,10000,1,10000-0,14.970860523942982,62177.56411580026,0,Bernoulli,621.9575571846087,SNIPE(1),14.05347142318039,-0.9173891007625912,0.8416027621979957,-0.061278314582879564
7,0.3,2,10000,1,10000-0,14.974989479843831,56621.753294466536,0,Bernoulli,549.2377527576533,SNIPE(1),13.77715033645041,-1.1978391433934217,1.4348186134454861,-0.0799893145170953
8,0.4,2,10000,1,10000-0,15.01842718974296,54601.410198982994,0,Bernoulli,635.9071064000286,SNIPE(1),17.332506797964008,2.314079608221048,5.35496443318448,0.1540826864880685
9,0.5,2,10000,1,10000-0,15.109650072542568,110606.3402276678,0,Bernoulli,1809.351272302543,SNIPE(1),14.827393800419598,-0.2822562721229698,0.07966860315275597,-0.018680530043239663
